Gx,Gy,Tx,Ty,,D6S8S,D7S9S,D2S3S,D4S5S,D2S5S,D3S4S,D6T8T,D7T9T,D2T3T,D4T5T,D2T5T,D3T4T,,FS_1S,FS_1T,FS_2S,FS_2T,FS_3S,FS_3T,FS_4S,FS_4T,FS_5S,FS_5T,FS_6S,FS_6T,FS_7S,FS_7T,FS_8S,FS_8T,FS_9S,FS_9T,FS_Ave_S_G2 [2 3 4 5],FS_Ave_T_G2 [2 3 4 5],FS_Ave_S_G3 [6 7 8 9],FS_Ave_T_G3 [6 7 8 9],FS_Delta_S_G2 [2 3 4 5],FS_Delta_T_G2 [2 3 4 5],FS_Delta_S_G3 [6 7 8 9],FS_Delta_T_G3 [6 7 8 9],PeakMTF_1S,PeakMTF_1T,PeakMTF_2S,PeakMTF_2T,PeakMTF_3S,PeakMTF_3T,PeakMTF_4S,PeakMTF_4T,PeakMTF_5S,PeakMTF_5T,PeakMTF_6S,PeakMTF_6T,PeakMTF_7S,PeakMTF_7T,PeakMTF_8S,PeakMTF_8T,PeakMTF_9S,PeakMTF_9T,Date-Time
-0.04,0.004,0.375,0.185,,-7.8,-33.8,-20,9.2,-37,-26.2,-8,-23.2,3.6,4.2,-20.2,-28,,--,-4,-28.4,1.4,-8.4,-2.2,17.8,25.8,8.6,21.6,-8.6,-3,-25.6,-6.6,-0.8,5,8.2,16.6,-2.6,11.7,-6.7,3,46.2,28,33.8,23.2,68.6,70.2,67.7,62.8,61.9,57.2,67.9,49,67.7,61.1,63.1,66.1,68.7,66,63,64.1,67.1,68,2025/05/22/16:47:14
0.046,0.061,-0.185,-0.365,,-35,32.4,-56,34.2,17,38.8,-35.8,27.2,-37.8,36,18.4,20.2,,--,1.2,-15,13.2,41,51,2.2,30.8,-32,-5.2,-24,-12.4,13,20.2,11,23.4,-19.4,-7,-0.9,22.5,-4.9,6,73,56.2,37,35.8,64.8,69.5,58.1,52.8,67.2,43.7,51.8,43,63.8,52.3,61.7,65.9,59.5,50,57.6,63,64.4,55.4,2025/05/22/16:47:26
-0.079,0.043,0.105,-0.29,,-1.6,-15.8,-20,10.6,-22.4,-13,-10,-18,-5.8,21.2,-18,-33.4,,--,-1.4,-18.2,3.8,1.8,9.6,14.8,43,4.2,21.8,-5.8,-0.8,-14.2,-1.2,-4.2,9.2,1.6,16.8,0.6,19.5,-5.6,6,33,39.2,15.8,18,70.3,71.5,62.5,51.3,68,51.6,59.2,46.7,63.4,54.9,64.9,63.7,65.3,62.2,64.2,67.7,69.1,63.8,2025/05/22/16:47:36
-0.006,0.048,-0.18,-0.38,,-0.2,-8.2,-17.4,8.2,-14,-4.8,-7.6,-6.8,-1.8,16.4,-7.4,-22,,--,-2.8,-14.2,6.4,3.2,8.2,8,30.2,-0.2,13.8,-4.4,-1.6,-11.4,2.6,-4.2,6,-3.2,9.4,-0.8,14.7,-5.8,4.1,22.2,23.8,8.2,11,72.2,73.1,66.8,60.9,69.6,56.4,62.5,49.9,68.1,57.3,67.9,67.8,70,68.6,66.8,68.5,70.5,67.6,2025/05/22/16:47:46
0.075,-0.036,-0.06,0.23,,-31.4,-28.4,-48.6,27.2,-38.2,-16.8,-28.2,-27.2,-30.2,15.4,-35,-20.2,,--,-2.4,-40.6,-8.2,8,22,24.8,42.2,-2.4,26.8,-22,-10.4,-22.2,-6.6,9.4,17.8,6.2,20.6,-2.5,20.7,-7.2,5.3,65.4,50.4,31.6,31,66.2,65.7,61.4,60.1,60.7,42.1,51.8,40.1,64.8,56,63.1,64,55.5,56.4,56.2,53.6,59.9,60.7,2025/05/22/16:47:57
0.046,-0.068,0.475,0.07,,-25.2,33.2,-53.6,13.4,2.8,43,-21.8,26.2,-26.6,-3.4,3.6,33.6,,--,-1,-22.2,20.6,31.4,47.2,-11.6,13.6,-25,17,-18.6,-4.8,5.8,18.8,6.6,17,-27.4,-7.4,-6.9,24.6,-8.4,5.9,56.4,33.6,34,26.2,62.1,58.3,54.3,53.4,57,41.3,45.5,34.6,57.5,44.2,58.3,52.2,46,51.8,51.2,43.2,51.5,54.9,2025/05/22/16:48:08
0.076,-0.059,0.2,0.395,,-33.6,27.2,-50.4,36,15.6,30,-33.4,26.4,-29,32,20,17,,--,-1.4,-14,10.4,36.4,39.4,6.4,22.4,-29.6,-9.6,-21.8,-13.6,8.4,19.4,11.8,19.8,-18.8,-7,-0.2,15.7,-5.1,4.7,66,49,33.6,33.4,69.9,72.1,67.2,62.9,69.8,51.2,58.5,47,68.2,57.7,65.9,68.3,65.7,64,63.2,67.1,67.4,62.2,2025/05/22/16:48:17
0.018,-0.067,0.475,0.41,,28,-30.8,10.2,-20,-35.2,-25.4,21.4,-22.8,26.8,-20.6,-22.6,-28.8,,--,-3.2,-12.4,12.6,-22.6,-14.2,2.8,14.6,22.8,35.2,9.4,11,-23.8,-5.6,-18.6,-10.4,7,17.2,-2.3,12.1,-6.5,3,45.4,49.4,33.2,27.6,71.1,72.2,66.9,64.8,67.4,58,67.4,52.2,70.1,59.9,66.8,67.7,71,69.8,65.3,66.9,70,69.5,2025/05/22/16:48:27
0.036,0.04,0.235,-0.095,,-15,15.6,-39.2,10.2,-5.2,23.8,-16,11.2,-24.8,7.8,-5,12,,--,1.8,-17.6,16.4,21.6,41.2,-2.2,29.2,-12.4,21.4,-14.8,-2,4.8,13.6,0.2,14,-10.8,2.4,-2.6,27.1,-5.2,7,39.2,24.8,19.6,16,65.1,69.5,53,51,64.6,40,49.4,42.2,63,49.4,60.8,65.7,55.7,45.3,54.8,58.4,63.5,55.3,2025/05/22/16:48:38
0.027,-0.035,-0.08,-0.39,,16.4,18.4,-3.8,-5,12.8,21.6,6.6,14,12.8,10.2,13.2,-9.8,,--,0.2,7.4,28.6,11.2,15.8,-10.4,25.6,-5.4,15.4,2.2,8.8,4.2,13.8,-14.2,2.2,-14.2,-0.2,0.7,21.4,-5.5,6.2,21.6,13.2,18.4,14,67,69.4,59.1,44,61.5,48,54.8,42.4,56.7,51.8,61.7,61.8,62.1,56.3,61.2,65.1,66.9,58.2,2025/05/22/16:48:48
-0.076,0.047,-0.485,0.165,,-6.8,4.4,-20.6,8.6,-0.8,11.2,-5,10.6,4.2,-2.4,10.4,8.6,,--,-2.8,-9.4,20.2,11.2,16,0,7.4,-8.6,9.8,-7.8,-0.8,-5.8,10.8,-1,4.2,-10.2,0.2,-1.7,13.4,-6.2,3.6,20.6,12.8,9.2,11.6,67.5,68.1,67.5,60.3,62.4,52.6,63.8,45.2,65.7,59.9,62.6,64,64.8,65,61.7,62.2,64.4,65.5,2025/05/22/16:48:57
0.042,-0.017,0.075,-0.15,,18.4,-3.8,-0.2,-10,-10.6,-0.4,10.4,-3,16.4,-5.8,-5.4,-16,,--,-1.2,-3.4,19,-3.2,2.6,-2.8,18.6,7.2,24.4,4.6,8.2,-8,4.8,-13.8,-2.2,-4.2,7.8,-0.6,16.2,-5.3,4.6,10.6,21.8,18.4,10.4,71.4,73,66.8,59,70.1,53.3,62.4,49.9,67.8,56.9,67.6,68.6,69.1,66.3,65.3,68.5,70.5,66.1,2025/05/22/16:49:06
0.062,-0.002,-0.125,0.435,,4,-34.8,-11.6,1.4,-39.4,-29.2,0.2,-25,7,-0.8,-24.6,-30.8,,--,-4,-26,1.6,-14.4,-5.4,14.8,25.4,13.4,26.2,-2,0.6,-25.8,-6.8,-6,0.4,9,18.2,-3,11.9,-6.2,3.1,40.8,31.6,34.8,25,69.3,70.9,66.3,64,64.9,58.6,66.9,52.8,69.9,59.1,64.7,66.7,69.7,68.4,65,65.7,68.8,69.3,2025/05/22/16:49:16
0.007,0.002,-0.31,0.18,,30.2,15.6,11.2,-12.2,16.4,17.4,18.2,12.2,27.4,5.4,15.8,-17,,--,-0.8,11.8,33.4,0.6,6,-16.8,23,-4.6,17.6,8.4,13,-0.2,11.6,-21.8,-5.2,-15.8,-0.6,-2.3,20,-7.4,4.7,28.6,27.4,30.2,18.2,66.3,65.9,56.6,40,57,49.6,53.3,40,50.8,48.9,60.8,57.3,60.4,57.7,60.5,61.5,63.6,58.4,2025/05/22/16:49:25
-0.033,-0.043,-0.245,-0.11,,-35.2,13,-54.8,34,-1.8,19,-37.2,6.4,-36.6,36.2,-0.4,0,,--,1.2,-23.6,6.2,31.2,42.8,12.2,42.8,-21.8,6.6,-23.8,-12.8,3.8,10.4,11.4,24.4,-9.2,4,-0.5,24.6,-4.5,6.5,54.8,36.6,35.2,37.2,65,69.7,56.6,50.3,66.4,41.9,51.5,42.9,64.1,52.8,61.3,66.5,58.1,46.4,57,62.4,65.3,55.9,2025/05/22/16:49:35
-0.026,-0.004,-0.47,-0.315,,34.8,-3.6,12.4,-23.2,-9.8,1,25,0.6,20.6,-11,-4.4,-14,,--,-3.6,1,19.8,-11.4,-0.8,-12.4,13.2,10.8,24.2,12.6,12,-12.6,5.2,-22.2,-13,-9,4.6,-3,14.1,-7.8,2.2,23.2,25,34.8,25,69.8,66.5,58.9,55.7,62.6,55.2,57.4,48.7,61.9,49.9,66.3,58.7,64.1,68.5,63,58.6,64.6,66.8,2025/05/22/16:49:44
0.023,-0.014,0.175,0.02,,-6.8,6,-24.6,14.2,-1.6,8.8,-11.4,6.8,-9.2,17,3.4,-4.4,,--,-1.8,-11,9.2,13.6,18.4,4.8,22.8,-9.4,5.8,-8.2,-3.8,-3.8,9.4,-1.4,7.6,-9.8,2.6,-0.5,14.1,-5.8,4,24.6,17,8.4,13.2,71.2,72.9,67.9,62.8,70.5,55.8,62.5,50.3,69.2,58.9,67.3,69,69.9,68.3,66.3,68.7,70.2,66.9,2025/05/22/16:49:53
0.018,0.042,0.09,-0.17,,-9.6,-35.4,-26,15,-40.4,-29.4,-14.4,-26,-8.6,13.2,-27.2,-31.8,,--,-3.8,-32.8,-6.6,-6.8,2,22.6,33.8,7.6,20.6,-9.2,-6.6,-26,-7,0.4,7.8,9.4,19,-2.4,12.4,-6.3,3.3,55.4,40.4,35.4,26,70.1,71.8,66.8,64.7,65.3,58.9,66.9,52.9,69.5,58.8,65.6,67.4,69.9,68.4,65.3,65.8,69.3,70,2025/05/22/16:50:02
0.06,-0.012,0.23,0.13,,19.4,-32,3.2,-13,-35.6,-25.8,14.6,-22,20.8,-14.4,-22.2,-28.6,,--,-3.8,-16.2,9.4,-19.4,-11.4,6.4,17.2,19.4,31.6,5.4,8.2,-24.4,-5.4,-14,-6.4,7.6,16.6,-2.4,11.7,-6.4,3.3,38.8,43,32,23,70.8,72.4,67.6,64.6,66.4,58.2,67.7,52,70.5,60.5,66,68,70.4,69.4,64.7,66.6,70,69.2,2025/05/22/16:50:11
-0.07,0.001,-0.175,-0.15,,7.8,17.6,-11,4.4,16.2,22.8,-0.4,15,11,17.4,20.4,-8,,--,2,3,37.6,14,26.6,-8.8,34.6,-13.2,17.2,-4.6,5.8,5.2,12,-12.4,6.2,-12.4,-3,-1.2,29,-6,5.3,27.2,20.4,17.6,15,62.1,67.9,51.3,36.8,54.1,41.7,50.6,36,51.7,49.3,56.6,58,55.6,42.7,56.2,62.6,64.4,52,2025/05/22/16:50:21
0.034,0.006,-0.2,0.39,,26.8,10.6,6.2,-14.6,4.6,13,15,8,17.6,1.4,7.4,-11.6,,--,-1.6,5.8,22,-0.4,4.4,-13.4,16,1.2,14.6,7.4,10,-3.4,9.2,-19.4,-5,-14,1.2,-1.7,14.3,-7.4,3.9,19.2,17.6,26.8,15,69.9,67.9,60.9,50.3,62.7,53.9,56,44.5,58.1,50.4,65.1,60.3,64.3,64.8,63.2,61.9,65.1,63.4,2025/05/22/16:50:30
-0.025,0.059,-0.37,0.44,,29,-1.2,10,-16,-4,2,19,-5.2,23.8,-3.4,-3.4,-23.8,,--,-1.2,3.6,24,-6.4,0.2,-8.4,24,7.6,27.4,8,13.2,-7.8,3.6,-21,-5.8,-6.6,8.8,-0.9,18.9,-6.9,4.9,16,27.2,29,19,67.9,68.6,57.8,42.4,61.2,49.2,55.9,43.4,54.8,50.7,61.8,59.1,61.7,57.3,62.7,65,66.1,60,2025/05/22/16:50:40
-0.042,-0.033,0.39,0.365,,-24.6,11,-40,24.6,1.8,17.2,-21,12.2,-19,11,6.2,14.2,,--,-3,-17,11.8,23,30.8,5.8,16.6,-18.8,5.6,-18,-7.4,-2.4,11.6,6.6,13.6,-13.4,-0.6,-1.8,16.2,-6.8,4.3,41.8,25.2,24.6,21,67.2,67.1,64,60.4,63.7,48.4,56.6,42.2,64.4,56,62.9,62.9,59.4,61,59.3,58.8,61.5,61.7,2025/05/22/16:50:49
-0.023,-0.002,0.21,0.275,,-11.4,-17.6,-25.2,14.4,-22.6,-11.8,-11.2,-11.4,-3.2,4.4,-11.4,-12.6,,--,-3.4,-23.4,4.8,1.8,8,13.6,20.6,-0.8,16.2,-11,-4.8,-17.6,-0.6,0.4,6.4,0,10.8,-2.2,12.4,-7,3,37,15.8,18,15.6,68.9,69.7,68.5,63,63.5,53.9,65.4,47.9,67.4,61,64.3,66.1,67.3,66.4,62.7,64.3,65.9,67,2025/05/22/16:50:59
0.052,-0.062,-0.345,-0.37,,-15.4,22.8,-32.6,20.2,13.2,25.6,-17.8,24,-13.8,18.2,19.8,15.4,,--,-3.2,-8.2,13.8,24.4,27.6,-1.2,12.2,-21.4,-6,-12.4,-7.6,3.6,17,3,10.2,-19.2,-7,-1.6,11.9,-6.2,3.2,45.8,33.6,22.8,24.6,71.2,73.2,69.2,65.8,69.3,57.2,63.2,50.5,69.7,59.8,67.1,69.7,69.7,68.6,66.5,69.2,69.4,66.6,2025/05/22/16:51:07
-0.029,-0.024,-0.38,0.375,,25.8,-26.2,5.6,-15,-30.8,-21.4,14.4,-20.2,15.2,-5.6,-23.4,-33,,--,-3.6,-12.2,9.2,-17.8,-6,3.6,27,18.6,32.6,9,9,-22.2,-3.6,-16.8,-5.4,4,16.6,-2,15.7,-6.5,4.2,36.4,38.6,31.2,22,70.1,67.6,59.3,56.7,65.4,56.8,59.6,50.2,64.2,51,65.7,59.7,66,68.5,64.8,61,66.4,68.2,2025/05/22/16:51:16
0.047,-0.078,0.495,-0.285,,38.8,10.4,18.4,-35,-2.2,14.4,34,4,28.8,-34.4,-3.4,2.2,,--,1.2,11.6,37.6,-6.8,8.8,-21.2,6.6,13.8,41,12.8,22,1,8.6,-26,-12,-9.4,4.6,-0.7,23.5,-5.4,5.8,35,34.4,38.8,34,67.4,72.1,58,50.8,66.5,42.1,55,45.8,63.1,53.5,62.5,67.1,60.3,49.9,58.3,63.5,68.7,59.3,2025/05/22/16:51:27
0.062,-0.041,-0.455,-0.26,,-4,8.6,-22.2,10,0.2,12.4,-9.6,7,-6.4,11.4,2.2,-2.8,,--,-0.6,-7.8,14.4,14.4,20.8,2,23.6,-8,12.2,-7,-1.4,-1,9.8,-3,8.2,-9.6,2.8,0.1,17.8,-5.2,4.9,22.4,11.4,8.6,11.2,69.9,73.2,65.8,58.4,70,50.4,59,48,67.4,57.3,66.9,69.2,66.2,62.1,62.8,67.7,69.6,63,2025/05/22/16:51:35
0.076,0.007,-0.055,0.245,,0,-27.6,-14.4,2.4,-31.8,-19.8,2,-20.8,5.4,-11,-21.8,-16.2,,--,-2.8,-21,11.6,-6.6,6.2,13.2,22.4,10.8,33.4,-4.8,5,-21.6,-3.6,-4.8,3,6,17.2,-0.9,18.4,-6.3,5.4,34.2,27.2,27.6,20.8,67.1,66.3,66,61,58.9,48.3,61.1,41.7,64.2,58.4,62.6,62.8,61.7,63.6,58.1,55.3,60.7,63.4,2025/05/22/16:51:46
0.029,-0.046,0.005,0.455,,27.6,14.4,9.4,-21.8,4.8,17.2,25.2,12.8,24.2,-29.8,5.2,10.8,,--,-1,9,33.6,-0.4,9.4,-17.6,-1.4,4.2,28.4,8.4,15.6,1,12.6,-19.2,-9.6,-13.4,-0.2,-1.2,17.5,-5.8,4.6,26.6,35,27.6,25.2,69.8,72.9,65.5,61.9,70.3,48.3,59.3,47.3,68.1,57,66.1,68.6,65.4,63.8,61.9,63.9,67.2,63.8,2025/05/22/16:51:56
-0.046,0.014,0.035,0.255,,15.6,-8,-4.4,-6.6,-14.2,-3.2,5.6,-3.4,6.4,5,-6.2,-17.6,,--,-3.2,-8.4,10.6,-4,4.2,-0.8,21.8,5.8,16.8,3.6,4.2,-13,4.2,-12,-1.4,-5,7.6,-1.9,13.4,-6.6,3.6,14.2,17.6,16.6,9,70.5,69.6,63.1,59.4,66.4,57.2,60.3,50.3,66.7,53.7,66.6,63.9,67.7,69.9,65.1,63.3,67.5,68.3,2025/05/22/16:52:05
0.013,-0.002,-0.42,-0.5,,29.8,24,12,-8.8,29.2,26,19.8,22.8,36.2,4.4,32.6,-8,,--,1.6,17,52,5,15.8,-21,23.8,-12.2,19.4,5.8,16.2,6.4,15.8,-24,-3.6,-17.6,-7,-2.8,27.8,-7.4,5.4,38,36.2,30.4,23.2,63.1,65.8,51.9,34.6,51.2,42.9,50,35.5,48.9,48,56.2,55.5,55.4,45.6,57,61.1,62.6,52.8,2025/05/22/16:52:14
-0.018,0.05,-0.26,0.05,,24.6,7.8,5.8,-16.8,-0.4,10.6,18.4,5.8,20,-17.8,1.2,-1,,--,-1.2,4.6,26.4,-1.2,6.4,-11.8,7.4,5,25.2,7.4,11.8,-2.6,8.6,-17.2,-6.6,-10.4,2.8,-0.8,16.4,-5.7,4.2,16.8,20,24.6,18.4,70.8,72.9,66.4,61,70.8,51.3,61.3,49.7,67.6,58,67,69.9,68.2,65.4,64.6,67.8,69.8,65,2025/05/22/16:52:30
0.068,0.028,-0.305,-0.105,,4.8,15.6,-10.6,-2,7,19.6,6,18,9.6,-13.4,13.4,17.2,,--,-2.2,0.2,27.4,10.8,17.8,-8.8,0.6,-6.8,14,-2.6,5.4,1,14.4,-7.4,-0.6,-14.6,-3.6,-1.1,15,-5.9,3.9,19.6,26.8,15.6,18,68.8,70,66.8,62.7,66.6,51.1,60.8,45.5,66.6,58,64.5,65.6,64.8,64.8,61.8,62.8,64.8,64.7,2025/05/22/16:52:39
0.063,0.038,0.065,0.38,,3.8,-24.2,-16.6,3.8,-30.6,-17.8,-5.2,-14.8,-5.4,8.6,-19,-22.2,,--,-3.8,-23.2,0.2,-6.6,5.6,11.2,27.8,7.4,19.2,-2.2,-2.2,-21.2,-1.8,-6,3,3,13,-2.8,13.2,-6.6,3,34.4,27.6,24.2,15.2,70.3,69.1,61.2,62.1,63.2,55.8,62.6,53.4,68.8,53.9,64.9,63.6,67,67.7,64.2,62,68.4,69.5,2025/05/22/16:52:49
0.055,-0.034,-0.035,0.035,,15.2,-35.6,-1,-9.2,-41,-30.8,12.4,-32.4,13.8,-18.2,-35.4,-31,,--,-2.8,-20.4,6.2,-19.4,-7.6,11.4,23.4,20.6,41.6,1.4,8,-25.8,-10.8,-13.8,-4.4,9.8,21.6,-2,15.9,-7.1,3.6,41,49.2,35.6,32.4,70.6,72,68.1,63.7,67.4,50.2,64.2,47.7,70.1,60.5,66.3,68.6,68.1,66.3,62.6,63.8,67.9,68,2025/05/22/16:53:00
-0.076,0.061,0.41,-0.03,,12,31,-7.2,-2.4,23,32.6,2,29,6.4,11.2,25.2,7.6,,--,-1.4,10,26.2,17.2,19.8,-15.4,12.2,-13,1,1.4,4.2,8.6,20.6,-10.6,2.2,-22.4,-8.4,-0.3,14.8,-5.8,4.6,32.6,25.2,31,29,70.4,71.3,64.3,55.5,64,53.9,57.2,45,61.2,54.1,66.5,65.1,67,66.7,63.6,64.2,67.1,63,2025/05/22/16:53:10
0.01,-0.042,-0.285,0.475,,-8.8,21,-33.4,6.4,1,28,-10.4,15.6,-16.6,5.4,2.8,14,,--,1,-11.6,20.4,21.8,37,-6.2,23,-12.6,17.6,-11,0.2,7.2,14.8,-2.2,10.6,-13.8,-0.8,-2.1,24.5,-4.9,6.2,34.4,19.4,21,15.6,64.8,69,54.5,52.7,65.9,40.1,50.8,43.2,64.1,51.2,61.6,66.3,56.6,46.6,55.8,59.8,64.6,56,2025/05/22/16:53:21
-0.006,-0.006,0.395,-0.025,,3.8,36.8,-15.6,4,28,39.6,-4.2,32.2,0.2,12.4,28.8,16.2,,--,-0.2,9,29.2,24.6,29,-15,12.8,-19,0.4,-4,2,13.2,22,-7.8,6.2,-23.6,-10.2,-0.1,17.9,-5.5,5,43.6,28.8,36.8,32.2,68.1,71.7,62.1,51.8,66.1,49,55.5,44,61.4,54.2,64.1,67,64.5,58.7,61.6,66.4,67,58.4,2025/05/22/16:53:31
-0.079,-0.004,-0.025,0.465,,35.8,25.6,14,-24,19,29,24,27.4,25,-11.8,26.2,13,,--,-2.6,16.8,34.2,2.8,9.2,-26.2,-3.8,-2.2,8,13.4,12.8,4.2,18.6,-22.4,-11.2,-21.4,-8.8,-2.2,11.9,-6.5,2.8,43,38,35.8,29.8,70.8,69.8,64.4,60.8,64.3,56.3,59.3,50.2,64.3,53.9,68.2,65.4,67.8,70.1,63.9,62,67.5,66.4,2025/05/22/16:53:41
-0.052,0.003,0.215,0.39,,-11.8,-3.6,-27.4,14.4,-10.6,2.4,-12,0.4,-5.8,6.8,-1.8,-2.8,,--,-2.8,-16.8,10,10.6,15.8,8.2,18.6,-6.2,11.8,-10.6,-4.2,-9,6.2,1.2,7.8,-5.4,5.8,-1,14.1,-6,3.9,27.4,8.6,11.8,12,69.8,71.5,68.7,64.4,67.1,54.1,64,48.9,68.1,60.2,65.5,67.5,67.8,66.5,63.8,65.7,66.8,66.5,2025/05/22/16:53:50
0.028,-0.061,-0.015,0.14,,-14,27.8,-35,19.2,16.2,32,-19.8,23.6,-16,25,17.4,8.4,,--,1.2,-6,20.8,29,36.8,-3,28.4,-22.2,3.4,-15,-4.8,9.4,17.2,-1,15,-18.4,-6.4,-0.6,22.3,-6.2,5.3,51.2,33.4,27.8,23.6,65,70.3,57.2,46.8,64.5,44,52.3,42.1,60.1,52.7,60.3,64.6,60.4,48.6,57.6,65.1,65.7,54.7,2025/05/22/16:54:01
0,0.075,0.355,-0.215,,25,18.8,9,-20.4,11.8,23.2,24.6,24,30.4,-28.4,21.2,19.2,,--,-2.6,11.4,38,2.4,7.6,-20.8,-11.6,-0.4,16.8,7.4,13.4,1.2,17.2,-17.6,-11.2,-17.6,-6.8,-1.8,12.7,-6.7,3.1,32.2,49.6,25,28.4,69.6,71,67.9,62.7,66.3,53.6,64.5,47.4,67.9,60,64.9,67.8,67.7,68.2,63.9,65.5,67,66.5,2025/05/22/16:54:17
0.027,-0.045,-0.17,0.015,,-7,-33,-20,9.4,-36.6,-26,-6.8,-26.4,0.2,-3.8,-25.8,-22.2,,--,-3.8,-27,4.8,-7,4.6,19,26.8,9.6,30.6,-8.6,-0.6,-24,-6.2,-1.6,6.2,9,20.2,-1.4,16.7,-6.3,4.9,46,26,33,26.4,66.9,66.8,66.3,61.2,57.8,49.6,62.7,42.8,64,59.3,62.5,62.4,62.6,63.8,58.4,56.4,60.4,64.6,2025/05/22/16:54:28
0.078,-0.079,0.15,-0.4,,-5.2,4.8,-25.8,5.6,-10.4,9.8,-6,-2.6,-11.8,2.2,-10,-0.4,,--,0,-13.6,15,12.2,26.8,2.4,27.2,-3.2,25,-8.6,2.6,-1,5.8,-3.4,8.6,-5.8,8.4,-0.5,23.5,-4.7,6.3,25.8,12.2,7.6,6,66.5,70.7,57.7,53,66.7,41.3,52.6,44,65.1,53.4,62.3,66.9,59.3,49.8,57.4,61.4,65.9,58.4,2025/05/22/16:54:39
0.07,-0.028,-0.435,0.025,,28.8,0.4,10.6,-20.8,-5.8,4.4,22.2,-0.6,22.8,-20,-4.6,-7.4,,--,-1.4,4.2,24.6,-6.4,1.8,-10.8,9.2,10,29.2,9.2,13.4,-6.4,6.2,-19.6,-8.8,-6.8,6.8,-0.8,16.2,-5.9,4.4,20.8,27.4,28.8,22.2,71.3,73.2,66.9,60,70.4,51.9,61.9,49.8,68.4,57.7,67,69.3,68.3,66,65,67.5,70,65.9,2025/05/22/16:54:49
0.006,-0.026,0.12,0.105,,-39,34.4,-53.2,41.2,25.2,37.2,-37.2,34.6,-31.6,35.8,29,24.8,,--,-3,-13,9.8,40.2,41.4,3,16.6,-38.2,-19.2,-25.6,-17.2,9.2,21.8,13.4,20,-25.2,-12.8,-2,12.2,-7.1,2.9,78.4,60.6,39,39,69.3,71.7,69,64.3,69.6,53.1,60.4,48.7,68.3,58.8,65.2,68.1,67.7,65.7,65.1,67.5,67,63.8,2025/05/22/16:54:59
-0.078,-0.051,-0.465,0.005,,-6.6,42.8,-25,13.8,34,45.2,-14.8,41.4,-7.4,23,38.2,22.6,,--,-1.4,7,25.2,32,32.6,-13.2,10,-27,-13,-8.2,-4.6,15.2,26.4,-1.6,10.2,-27.6,-15,-0.3,13.7,-5.5,4.3,59,45.6,42.8,41.4,70.2,72.1,67.7,61.5,67.9,55.5,58.6,47.6,66.3,56.2,67.4,68.3,68.7,68.1,64.7,66.2,68.8,63.7,2025/05/22/16:55:09
0.069,-0.026,-0.07,0.425,,-25,-27,-39.6,29.8,-32.6,-22.8,-26.8,-23,-24.2,28.2,-25.8,-29.8,,--,-3.2,-35.2,-11.4,4.4,12.8,27.2,42.6,-2.6,14.4,-18,-12.4,-21.4,-6,7,14.4,5.6,17,-1.6,14.6,-6.7,3.3,62.4,54,28.4,29.4,70.8,72.3,69.2,64.3,69.5,52.9,63.6,49,70.3,60.4,67.1,68.7,68.3,66.8,65.2,68,69.4,67.4,2025/05/22/16:55:19
-0.001,-0.022,0.225,0.36,,25.6,-6.2,6,-17.4,-11.6,-0.2,15.4,3,14.2,-11.4,-1.8,-4.6,,--,-3.6,-3.2,17.6,-9.2,3.4,-9,8,8.4,19.4,8.8,7,-13,7,-16.8,-8.4,-6.8,4,-3.3,12.1,-6.9,2.4,17.6,16,25.6,15.4,70.2,69.2,61.5,62.9,62.6,55.5,61.3,53.2,68.7,53.8,66,64.8,66.8,67.8,64.6,61.8,68.1,69.3,2025/05/22/16:55:29
-0.019,-0.054,0.135,-0.365,,3.2,1.4,-14.6,0.6,-9.4,4.6,0.6,-2,-0.6,-2.6,-8.8,-5.6,,--,-0.8,-8.2,16.6,6.4,17.2,1.8,22.8,1.2,25.4,-3.4,4.2,-4,5.8,-6.6,3.6,-5.4,7.8,0.3,20.5,-4.9,5.3,14.6,8.8,3.2,4.2,68.9,72.3,63.2,58.1,69.5,46.6,57.4,46.6,67.6,56.3,65.8,68.4,64.3,58.6,61.5,64.6,68,62.1,2025/05/22/16:55:40
0.063,0.038,0.085,0.44,,-39.6,-8.2,-52.4,42.4,-13.8,-3.8,-38.8,-1.2,-30.6,35.4,-1.2,-6,,--,-3.6,-32.2,-4.4,20.2,26.2,24,32.2,-18.4,-3.2,-24.2,-18.4,-12.4,5,15.4,20.4,-4.2,6.2,-1.6,12.7,-6.3,3.3,56.2,36.6,39.6,38.8,69.5,71.4,68.8,63.8,63.9,55.8,65.4,49.7,67.9,61.4,64.3,66.6,67.4,66.1,64.6,66.1,67,66.7,2025/05/22/16:55:50
-0.079,-0.001,-0.355,0.355,,3.2,5.4,-11.6,-0.4,-0.8,11.2,3,12,13,-7.4,12.8,7.2,,--,-3.6,-5.4,22.6,6.2,9.6,-5,2.4,-4.6,9.8,-3.6,2.2,-6,11,-6.8,-0.8,-11.4,-1,-2.2,11.1,-7,2.9,11.6,20.2,7.8,12,68.6,70.2,67.9,61.6,63.5,55.7,66.1,48.2,67.3,60.9,63.6,66.4,68.1,66.5,63.7,64.9,66.9,67.2,2025/05/22/16:55:59
