mode,target,model,MSE
1,Gx,XGB,9.599067116885972e-06
1,Gx,RF,1.1043740217391294e-05
1,Gy,XGB,7.056184836689952e-06
1,Gy,RF,1.3274176231884048e-05
1,Tx,XGB,0.0015334388380183223
1,Tx,RF,0.0022013959927536233
1,Ty,XGB,0.00252579131389125
1,Ty,RF,0.004626390816494217
